Date,Day_of_the_week,App,Minutes,Category
08/24,Thursday,YOUTUBE,109,Entertainment
08/24,Thursday,DISCORD,87,Social Media
08/24,Thursday,GOOGLE KEEP,55,Necessity
08/24,Thursday,MESSAGES,33,Necessity
08/24,Thursday,BANDLAB,33,Entertainment
08/24,Thursday,SPOTIFY,25,Entertainment
08/24,Thursday,SOUNDCLOUD,20,Entertainment
08/24,Thursday,WATTPAD,14,Entertainment
08/24,Thursday,GOOGLE DOCS,5,Education
08/25,Friday,DISCORD,108,Social Media
08/25,Friday,INSTAGRAM,77,Social Media
08/25,Friday,YOUTUBE,14,Entertainment
08/25,Friday,BANDLAB,40,Entertainment
08/25,Friday,GOOGLE KEEP,37,Necessity
08/25,Friday,SPOTIFY,22,Entertainment
08/25,Friday,MESSAGES,18,Necessity
08/25,Friday,GOOGLE,13,Education
08/25,Friday,AMAZON,8,Shopping
08/25,Friday,BIBLE,7,Education
08/26,Saturday,BANDLAB,301,Entertainment
08/26,Saturday,GOOGLE KEEP,21,Necessity
08/26,Saturday,INSTAGRAM,17,Social Media
08/26,Saturday,MESSAGES,10,Necessity
08/26,Saturday,DISCORD,4,Social Media
08/26,Saturday,GOOGLE,88,Education
08/27,Sunday,DISCORD,110,Social Media
08/27,Sunday,BANDLAB,78,Entertainment
08/27,Sunday,INSTAGRAM,65,Social Media
08/27,Sunday,WEBTOONS,45,Entertainment
08/27,Sunday,MESSAGES,16,Necessity
08/27,Sunday,SOUNDCLOUD,14,Entertainment
08/28,Monday,YOUTUBE,126,Entertainment
08/28,Monday,DISCORD,115,Social Media
08/28,Monday,INSTAGRAM,41,Social Media
08/28,Monday,WEBTOONS,23,Entertainment
08/28,Monday,SOUNDCLOUD,20,Entertainment
08/28,Monday,GOOGLE KEEP,20,Necessity
08/28,Monday,PRONTO,18,Education
08/29,Tuesday,CALCULATOR,224,Education
08/29,Tuesday,DISCORD,141,Social Media
08/29,Tuesday,PRONTO,37,Education
08/29,Tuesday,SPOTIFY,25,Entertainment
08/29,Tuesday,INSTAGRAM,15,Social Media
08/29,Tuesday,GOOGL KEEP,13,Necessity
08/29,Tuesday,MESSAGES,8,Necessity
08/30,Wednesday,DISCORD,376,Social Media
08/30,Wednesday,PRONTO,52,Education
08/30,Wednesday,GOOGLE,52,Education
08/30,Wednesday,BANDLAB,41,Entertainment
08/30,Wednesday,BIBLE,27,Education
08/30,Wednesday,MESSAGES,21,Necessity
08/30,Wednesday,SPOTIFY,15,Entertainment