Timestamp,hangout_with_friends,online_or_offline,minutes,social_events
10/26/2023 17:27:30,Yes,Online,1,1
10/26/2023 17:28:39,Yes,Offline(IRL),335,4
10/26/2023 17:39:31,Yes,Offline(IRL),120,2
10/26/2023 17:40:07,Yes,Offline(IRL),76,1
10/26/2023 17:41:22,Yes,Online,3,3
10/26/2023 17:41:48,No,Online,114,4
10/26/2023 17:43:45,No,Offline(IRL),98,2
10/26/2023 17:43:58,Yes,Online,155,2
10/26/2023 17:44:01,No,Online,244,1
10/26/2023 17:44:46,Yes,Offline(IRL),1,5
10/26/2023 17:44:46,No,Online,126,4
10/26/2023 17:47:05,No,Online,120,1
10/26/2023 17:48:24,No,Offline(IRL),7,3
10/26/2023 17:50:15,Yes,Online,401,4
10/26/2023 17:50:27,Yes,Offline(IRL),45,2
10/26/2023 17:51:20,Yes,Offline(IRL),53,1
10/26/2023 17:52:01,No,Online,560,1
10/26/2023 17:53:45,Yes,Online,300,2
10/26/2023 17:55:10,Yes,Online,10,3
10/26/2023 17:59:16,Yes,Online,45,2
10/26/2023 18:00:21,Yes,Offline(IRL),101,3
10/26/2023 18:01:52,No,Online,240,1
10/26/2023 18:05:32,No,Online,8,1
10/26/2023 18:06:26,Yes,Offline(IRL),422,2
10/26/2023 18:07:51,Yes,Online,124,4
10/26/2023 18:10:44,No,Offline(IRL),200,3
10/26/2023 18:15:23,No,Online,69,3
10/26/2023 18:17:07,No,Online,120,1
10/26/2023 18:27:42,Yes,Online,210,5
10/26/2023 18:30:18,Yes,Offline(IRL),100,1
10/26/2023 18:34:26,No,Online,4,1
10/26/2023 18:36:03,No,Offline(IRL),300,2
10/26/2023 18:46:48,Yes,Online,140,7
10/26/2023 18:47:35,Yes,Offline(IRL),112,5
10/26/2023 18:53:19,No,Offline(IRL),45,1
10/26/2023 18:59:49,Yes,Offline(IRL),145,7
10/26/2023 19:03:20,Yes,Online,120,2
10/26/2023 19:12:43,No,Online,276,1
10/26/2023 19:24:56,Yes,Offline(IRL),115,8
10/26/2023 19:30:40,No,Offline(IRL),3,1
10/26/2023 19:42:44,Yes,Online,540,3
10/26/2023 19:44:36,No,Online,50,1
10/26/2023 19:55:53,No,Offline(IRL),8,1
10/26/2023 19:57:17,No,Offline(IRL),120,1
10/26/2023 20:00:50,No,Online,210,2
10/26/2023 20:01:51,Yes,Offline(IRL),180,3
10/26/2023 20:02:39,No,Offline(IRL),180,2
10/26/2023 20:11:30,No,Offline(IRL),41,2
10/26/2023 20:17:49,No,Online,367,2
10/26/2023 20:25:12,No,Online,120,2
10/26/2023 20:49:03,Yes,Online,300,3
10/26/2023 21:01:03,Yes,Offline(IRL),229,4
10/26/2023 21:17:39,Yes,Offline(IRL),251,3
10/26/2023 21:22:42,No,Online,300,3
10/26/2023 21:40:59,No,Online,74,2
10/26/2023 21:45:42,No,Online,5,1
10/26/2023 21:58:58,No,Online,7,1
10/26/2023 22:12:39,No,Offline(IRL),30,1
10/26/2023 22:28:23,No,Online,3,1
10/26/2023 22:29:56,Yes,Online,302,2
10/26/2023 23:48:02,Yes,Offline(IRL),265,9
10/27/2023 0:00:47,Yes,Online,1440,25
10/27/2023 0:30:47,Yes,Online,186,3
10/27/2023 11:32:51,Yes,Offline(IRL),120,1
10/27/2023 11:49:15,No,Offline(IRL),84,1
10/27/2023 12:07:25,No,Online,180,1
10/27/2023 12:12:29,No,Online,255,1
10/27/2023 13:29:21,No,Online,240,2
10/27/2023 16:53:10,Yes,Online,135,6
10/27/2023 17:14:39,No,Online,26,1
10/27/2023 17:17:06,No,Online,62,5
10/27/2023 17:18:43,No,Online,220,2
10/27/2023 17:20:53,No,Online,165,1
10/27/2023 18:34:11,Yes,Offline(IRL),35,3
10/27/2023 18:36:48,No,Online,142,2
10/27/2023 19:00:12,Yes,Online,169,2
10/27/2023 19:09:28,No,Offline(IRL),49,2
10/27/2023 19:16:59,No,Online,213,2
10/27/2023 19:57:49,No,Online,7,2
10/27/2023 20:32:36,No,Offline(IRL),414,10
10/27/2023 20:34:30,Yes,Online,229,2
10/27/2023 20:39:06,Yes,Offline(IRL),180,5
10/27/2023 20:44:32,No,Online,409,1
10/27/2023 20:59:44,No,Offline(IRL),240,2
10/27/2023 21:11:39,Yes,Online,352,1
10/27/2023 21:18:04,Yes,Online,6,2
10/27/2023 21:23:43,Yes,Offline(IRL),8,3
10/27/2023 21:34:32,Yes,Offline(IRL),193,8
10/27/2023 21:43:29,Yes,Online,180,2
10/27/2023 21:53:09,No,Offline(IRL),35,2
10/27/2023 22:36:02,No,Offline(IRL),358,1
10/28/2023 0:42:02,No,Online,103,1
10/28/2023 1:16:46,Yes,Offline(IRL),70,6
10/28/2023 8:16:41,No,Offline(IRL),2,1
10/28/2023 10:56:44,No,Online,4,5
10/28/2023 11:05:35,No,Online,300,1
10/28/2023 12:27:29,No,Online,4,3
10/28/2023 16:38:55,No,Online,29,1
10/28/2023 16:57:11,No,Offline(IRL),2,5
10/28/2023 17:18:59,Yes,Offline(IRL),125,3
10/28/2023 17:42:03,Yes,Offline(IRL),309,3
10/28/2023 18:46:18,Yes,Offline(IRL),120,3
10/28/2023 19:56:20,Yes,Online,452,2
10/29/2023 18:44:18,Yes,Offline(IRL),174,4
10/29/2023 19:09:25,Yes,Offline(IRL),144,2
10/29/2023 20:49:14,Yes,Online,279,4
10/29/2023 20:50:01,Yes,Offline(IRL),348,2
10/30/2023 16:07:55,No,Online,4,2
10/30/2023 16:22:36,Yes,Offline(IRL),60,1
10/31/2023 1:19:28,Yes,Online,232,5
10/31/2023 11:25:54,Yes,Online,28,2
10/31/2023 11:26:47,Yes,Offline(IRL),1,1
10/31/2023 11:27:10,No,Online,71,1
10/31/2023 11:27:17,No,Online,120,6
10/31/2023 11:27:24,Yes,Online,482,1
10/31/2023 11:27:29,Yes,Offline(IRL),700,1
10/31/2023 11:27:37,Yes,Offline(IRL),200,1
10/31/2023 11:28:00,No,Online,156,1
10/31/2023 11:28:18,Yes,Online,546,2
10/31/2023 11:28:19,Yes,Offline(IRL),50,2
10/31/2023 11:28:37,No,Online,69,5
10/31/2023 11:28:40,No,Online,110,5
10/31/2023 11:28:54,Yes,Online,60,2
10/31/2023 11:28:55,Yes,Offline(IRL),4,2
10/31/2023 11:29:02,Yes,Offline(IRL),300,2
10/31/2023 11:29:06,Yes,Offline(IRL),103,4
10/31/2023 11:29:47,No,Offline(IRL),77,2
10/31/2023 11:31:36,No,Online,77,3
10/31/2023 11:33:06,No,Online,350,1